Date,Visiting Team,Visiting team game num,Home,Home team game num,Visiting final score,Home final score,Num outs,Ballpark,Visit line,Home line,
"""20200723""","""SFN""",1,"""LAN""",1,1,8,51,"""LOS03""","""001000000""","""00010052x""",
"""20200723""","""NYA""",1,"""WAS""",1,4,1,31,"""WAS11""","""201010""","""10000x""",
"""20200724""","""MIL""",1,"""CHN""",1,0,3,51,"""CHI11""","""000000000""","""00200001x""",
"""20200724""","""DET""",1,"""CIN""",1,1,7,51,"""CIN09""","""000100000""","""20101120x""",
"""20200724""","""SFN""",2,"""LAN""",2,1,9,51,"""LOS03""","""001000000""","""11011122x""",
"""20200724""","""ATL""",1,"""NYN""",1,0,1,51,"""NYC20""","""000000000""","""00000010x""",
"""20200724""","""MIA""",1,"""PHI""",1,5,2,54,"""PHI13""","""001004000""","""000010100""",
"""20200724""","""ARI""",1,"""SDN""",1,2,7,51,"""SAN02""","""000000101""","""00000340x""",
"""20200724""","""PIT""",1,"""SLN""",1,4,5,51,"""STL10""","""000000202""","""00101102x""",
"""20200724""","""BAL""",1,"""BOS""",1,2,13,51,"""BOS07""","""000001100""","""00460300x""",
"""20200724""","""MIN""",1,"""CHA""",1,10,5,54,"""CHI12""","""410200300""","""140000000""",
"""20200724""","""KCA""",1,"""CLE""",1,0,2,51,"""CLE08""","""000000000""","""00002000x""",
"""20200724""","""SEA""",1,"""HOU""",1,2,8,51,"""HOU03""","""010100000""","""00105110x""",
"""20200724""","""ANA""",1,"""OAK""",1,3,7,58,"""OAK01""","""0001001010""","""0001000204""",
"""20200724""","""TOR""",1,"""TBA""",1,6,4,54,"""STP01""","""000330000""","""000120010""",
"""20200724""","""COL""",1,"""TEX""",1,0,1,51,"""ARL02""","""000000000""","""00000100x""",
"""20200725""","""MIL""",2,"""CHN""",2,8,3,54,"""CHI11""","""010212200""","""100020000""",
"""20200725""","""DET""",2,"""CIN""",2,6,4,54,"""CIN09""","""100000302""","""120000100""",
"""20200725""","""SFN""",3,"""LAN""",3,5,4,54,"""LOS03""","""111200000""","""100000021""",
"""20200725""","""ATL""",2,"""NYN""",2,5,3,60,"""NYC20""","""0100000013""","""0000200001""",
"""20200725""","""MIA""",2,"""PHI""",2,1,7,51,"""PHI13""","""000010000""","""01000231x""",
