Date,Visiting,Visiting game num,Home,Home game num,Visiting score,Home score,Num outs,Ballpark,away 1th inning,away 2th inning,away 3th inning,away 4th inning,away 5th inning,away 6th inning,away 7th inning,away 8th inning,away 9th inning,away 10th inning,away 11th inning,away 12th inning,away 13th inning,away 14th inning,away 15th inning,away 16th inning,away 17th inning,away 18th inning,away 19th inning,away 20th inning,home 1th inning,home 2th inning,home 3th inning,home 4th inning,home 5th inning,home 6th inning,home 7th inning,home 8th inning,home 9th inning,home 10th inning,home 11th inning,home 12th inning,home 13th inning,home 14th inning,home 15th inning,home 16th inning,home 17th inning,home 18th inning,home 19th inning,home 20th inning
20200723,SFN,1,LAN,1,1,8,51,LOS03,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,1,0,0,5,2,0,,,,,,,,,,,
20200723,NYA,1,WAS,1,4,1,31,WAS11,2,0,1,0,1,0,,,,,,,,,,,,,,,1,0,0,0,0,0,,,,,,,,,,,,,,
20200724,MIL,1,CHN,1,0,3,51,CHI11,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,2,0,0,0,0,1,0,,,,,,,,,,,
20200724,DET,1,CIN,1,1,7,51,CIN09,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,2,0,1,0,1,1,2,0,0,,,,,,,,,,,
20200724,SFN,2,LAN,2,1,9,51,LOS03,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,1,1,0,1,1,1,2,2,0,,,,,,,,,,,
20200724,ATL,1,NYN,1,0,1,51,NYC20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,
20200724,MIA,1,PHI,1,5,2,54,PHI13,0,0,1,0,0,4,0,0,0,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,,,,,,,,,,,
20200724,ARI,1,SDN,1,2,7,51,SAN02,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,0,0,0,0,0,3,4,0,0,,,,,,,,,,,
20200724,PIT,1,SLN,1,4,5,51,STL10,0,0,0,0,0,0,2,0,2,,,,,,,,,,,,0,0,1,0,1,1,0,2,0,,,,,,,,,,,
20200724,BAL,1,BOS,1,2,13,51,BOS07,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,0,0,4,6,0,3,0,0,0,,,,,,,,,,,
20200724,MIN,1,CHA,1,10,5,54,CHI12,4,1,0,2,0,0,3,0,0,,,,,,,,,,,,1,4,0,0,0,0,0,0,0,,,,,,,,,,,
20200724,KCA,1,CLE,1,0,2,51,CLE08,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,2,0,0,0,0,,,,,,,,,,,
20200724,SEA,1,HOU,1,2,8,51,HOU03,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,0,0,1,0,5,1,1,0,0,,,,,,,,,,,
20200724,ANA,1,OAK,1,3,7,58,OAK01,0,0,0,1,0,0,1,0,1,0,,,,,,,,,,,0,0,0,1,0,0,0,2,0,4,,,,,,,,,,
20200724,TOR,1,TBA,1,6,4,54,STP01,0,0,0,3,3,0,0,0,0,,,,,,,,,,,,0,0,0,1,2,0,0,1,0,,,,,,,,,,,
20200724,COL,1,TEX,1,0,1,51,ARL02,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,,,,,,,,,,,
20200725,MIL,2,CHN,2,8,3,54,CHI11,0,1,0,2,1,2,2,0,0,,,,,,,,,,,,1,0,0,0,2,0,0,0,0,,,,,,,,,,,
20200725,DET,2,CIN,2,6,4,54,CIN09,1,0,0,0,0,0,3,0,2,,,,,,,,,,,,1,2,0,0,0,0,1,0,0,,,,,,,,,,,
20200725,SFN,3,LAN,3,5,4,54,LOS03,1,1,1,2,0,0,0,0,0,,,,,,,,,,,,1,0,0,0,0,0,0,2,1,,,,,,,,,,,
20200725,ATL,2,NYN,2,5,3,60,NYC20,0,1,0,0,0,0,0,0,1,3,,,,,,,,,,,0,0,0,0,2,0,0,0,0,1,,,,,,,,,,
20200725,MIA,2,PHI,2,1,7,51,PHI13,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0,1,0,0,0,2,3,1,0,,,,,,,,,,,
20200725,ARI,2,SDN,2,1,5,51,SAN02,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,0,0,0,3,0,0,2,0,0,,,,,,,,,,,
20200725,PIT,2,SLN,2,1,9,51,STL10,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,1,0,0,2,0,0,4,2,0,,,,,,,,,,,
20200725,NYA,2,WAS,2,2,9,51,WAS11,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,0,3,0,2,2,0,1,1,0,,,,,,,,,,,
20200725,BAL,2,BOS,2,7,2,54,BOS07,3,2,0,0,0,0,2,0,0,,,,,,,,,,,,0,0,0,0,0,2,0,0,0,,,,,,,,,,,
20200725,MIN,2,CHA,2,3,10,51,CHI12,0,0,0,0,0,3,0,0,0,,,,,,,,,,,,0,0,1,0,4,1,4,0,0,,,,,,,,,,,
20200725,KCA,2,CLE,2,3,2,60,CLE08,2,0,0,0,0,0,0,0,0,1,,,,,,,,,,,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,
20200725,SEA,2,HOU,2,2,7,51,HOU03,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,1,0,0,4,1,1,0,0,0,,,,,,,,,,,
20200725,ANA,2,OAK,2,4,1,54,OAK01,0,0,0,1,3,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,
20200725,TOR,2,TBA,2,1,4,51,STP01,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,0,0,0,0,0,1,0,3,0,,,,,,,,,,,
20200725,COL,2,TEX,2,3,2,54,ARL02,0,0,0,2,0,0,1,0,0,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,,,,,,,,,,,
20200726,MIL,3,CHN,3,1,9,51,CHI11,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0,1,0,4,0,0,1,3,0,,,,,,,,,,,
20200726,DET,3,CIN,3,3,2,54,CIN09,0,0,1,0,0,0,0,0,2,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,,,,,,,,,,,
20200726,SFN,4,LAN,4,3,1,54,LOS03,0,0,1,0,0,1,1,0,0,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,,,,,,,,,,,
20200726,ATL,3,NYN,3,14,1,54,NYC20,2,0,5,2,1,2,2,0,0,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,,,,,,,,,,,
20200726,MIA,3,PHI,3,11,6,54,PHI13,0,4,0,2,3,1,1,0,0,,,,,,,,,,,,4,1,0,0,0,1,0,0,0,,,,,,,,,,,
20200726,ARI,3,SDN,3,4,3,54,SAN02,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,0,0,1,0,0,0,0,1,1,,,,,,,,,,,
